// Editado por Zshiryu777
//------------------------------------------------------------------------------
// detail texture map file for cs_backalley level
//------------------------------------------------------------------------------
// cs_bdog.wad
//------------------------------------------------------------------------------
// [texture name]       [detail/texture name]   	       [hscale]	[vscale]

ad_popdog               detail/dt_smooth1               	10.0	10.0
asphalt01               detail/cs_bdog/asphalt01 		1.0	1.0
asphalt02               detail/cs_bdog/asphalt01       		2.0	2.0
asphaltdirty01          detail/cs_bdog/asphaltdirty01       	1.0	1.0
asphaltdirty02          detail/cs_bdog/asphaltdirty01       	1.0	1.0
brick01			detail/dt_stone1        	        10.0    10.0
brick02-2		detail/dt_stone1        	        10.0    10.0
brick03-2		detail/dt_stone1        	        10.0    10.0
brick04                 detail/cs_bdog/brick04          	1.0	1.0
brick04_sm              detail/cs_bdog/brick04          	1.0	1.0
brick05                 detail/cs_bdog/brick05        		1.0	1.0
brick05-2               detail/dt_stone1        		10.0	10.0
brick05-3               detail/dt_stone1        		10.0	10.0
brick05-4               detail/cs_bdog/brick05-4        	1.0	1.0
brick05-5               detail/cs_bdog/brick05-4        	1.0	1.0
brick05-6               detail/cs_bdog/brick05-4        	1.0	1.0
brick05-7               detail/cs_bdog/brick05-4        	1.0	1.0
brick05-8               detail/cs_bdog/brick05-4        	1.0	1.0
brick05-9               detail/cs_bdog/brick05-4        	1.0	1.0
brick05-10              detail/cs_bdog/brick05-10        	1.0	1.0
brick05-11              detail/cs_bdog/brick05-10        	1.0	1.0
brick05-12              detail/cs_bdog/brick05-12        	1.0	1.0
brick05_sm              detail/cs_bdog/brick05        		1.0	1.0
brick05b                detail/cs_bdog/brick05-4         	1.0	1.0
brick06                 detail/cs_bdog/brick06        		1.0	1.0
brick06_sm              detail/cs_bdog/brick06        		1.0	1.0
brick07                 detail/dt_stone1        		10.0	10.0
brick08                 detail/dt_stone1        		10.0	10.0
brick09                 detail/dt_stone1        		10.0	10.0
brick10                 detail/dt_stone1        		10.0	10.0
brick11                 detail/dt_stone1        		10.0	10.0
brick12                 detail/dt_stone1        		10.0	10.0
brick13                 detail/cs_bdog/brick13          	1.0	1.0
brick13b                detail/cs_bdog/brick13          	1.0	1.0
brick13c                detail/cs_bdog/brick13c        		1.0	1.0
caseend			detail/cs_bdog/caseend			1.0	1.0
caseside		detail/cs_bdog/caseside			2.0	1.0
casetop			detail/cs_bdog/casetop			2.0	1.0
ceiling			detail/dt_plaster2			10.0	10.0
ceiling01               detail/cs_bdog/ceiling01        	1.0	1.0
cinderblock01           detail/cs_bdog/cinderblock01        	1.0	1.0
cinderblock01a          detail/cs_bdog/cinderblock01        	1.0	1.0
cinderblock02           detail/dt_stone1        		10.0	10.0
cinderblock03           detail/dt_stone1        		10.0	10.0
cinderblock04           detail/dt_stone1        		10.0	10.0
concrete01		detail/dt_stone2                	10.0	10.0
concrete01-2		detail/dt_stone2                	10.0	10.0
concrete02              detail/cs_bdog/concrete02        	1.0	1.0
concrete02a             detail/cs_bdog/concrete02        	1.0	1.0
connector		detail/cs_bdog/connector        	1.0	1.0
conretetrim             detail/dt_wood1         		5.0	5.0
crate02                 detail/cs_bdog/crate02         		1.0	1.0
crateside01             detail/cs_bdog/crateside01         	1.0	1.0
crateside02             detail/cs_bdog/crateside01         	1.0	1.0
crateside03             detail/cs_bdog/crateside01         	1.0	1.0
cratetop01              detail/cs_bdog/cratetop01         	1.0	1.0
cratetop02              detail/cs_bdog/cratetop01         	1.0	1.0
door01                  detail/cs_bdog/door01 		        1.0	1.0
dumpsterfront		detail/cs_bdog/dumpsterfront        	1.0	1.0
dumpsterside		detail/cs_bdog/dumpsterside        	1.0	1.0
grass01                 detail/cs_bdog/asphalt01 		2.0	2.0
gravel01                detail/cs_bdog/gravel01 		2.0	2.0
gravel02                detail/cs_bdog/gravel01 		1.0	1.0
gravelgrass01           detail/cs_bdog/asphalt01 		2.0	2.0
gravelgrass02           detail/cs_bdog/asphalt01 		1.0	2.0
gravelgrass03           detail/cs_bdog/asphalt01 		1.0	2.0
gravelgrass04           detail/cs_bdog/asphalt01 		2.0	2.0
hanginglight01		detail/dt_metal1			10.0	10.0
hint                    detail/dt_metal1 		        2.0	2.0
ivy01                   detail/cs_bdog/ivy01 		        1.0	1.0
ivy01a                  detail/cs_bdog/ivy01 		        1.0	1.0
ivy02                   detail/cs_bdog/ivy02 		        1.0	1.0
ivy03                   detail/cs_bdog/ivy03 		        1.0	1.0
ivy04                   detail/cs_bdog/ivy04 		        1.0	1.0
ivy05                   detail/cs_bdog/ivy03 		        1.0	1.0
ivy06                   detail/cs_bdog/ivy06 		        1.0	1.0
loadingbay01            detail/cs_bdog/loadingbay01 		1.0	1.0
loadingbay02            detail/cs_bdog/loadingbay02 		1.0	1.0
loadingbay02a           detail/cs_bdog/loadingbay02 		1.0	1.0
loadingbay03            detail/cs_bdog/loadingbay03 		1.0	1.0
loadingbay04            detail/cs_bdog/loadingbay03 		1.0	1.0
loadingbay05            detail/cs_bdog/loadingbay05 		1.0	1.0
loadingbay05a           detail/cs_bdog/loadingbay05 		1.0	1.0
moseyplywood01		detail/dt_wood1 			2.0	2.0
popdog_front_b          detail/cs_bdog/popdog_front_b 		1.0	1.0
