// Detail texture map file for ctf_blacksite level
// [texture name]	[detail texture name]		[hscale]	[vscale]

banner1             detail/dt_smooth1             10.0        10.0
banner2             detail/dt_smooth1             10.0        5.0
banner2b            detail/dt_smooth1             10.0        5.0
comp01              detail/dt_smooth1             5.0         10.0
comp02              detail/dt_smooth1             5.0         10.0
comp03              detail/dt_smooth1             5.0         10.0
comp04              detail/dt_smooth1             5.0         10.0
comp05              detail/dt_smooth1             5.0         10.0
crate01a            detail/dt_smooth1             10.0        10.0
crate01b            detail/dt_smooth1             10.0        10.0
crate01c            detail/dt_smooth1             10.0        10.0
crate01d            detail/dt_smooth1             10.0        10.0
cstrike_CE2X001     detail/dt_smooth1             10.0        10.0
cstrike_CE2X002     detail/dt_smooth1             10.0        2.0
cstrike_CE2X003     detail/dt_smooth1             10.0        2.0
cstrike_CE2X004     detail/dt_smooth1             10.0        10.0
cstrike_CE2X008     detail/dt_smooth1             10.0        10.0
cstrike_CE2X011     detail/dt_smooth1             10.0        10.0
cstrike_CE2X012     detail/dt_smooth1             10.0        10.0
cstrike_CE2X013     detail/dt_smooth1             10.0        10.0
cstrike_CE2X014     detail/dt_smooth1             10.0        10.0
cstrike_CE2X015     detail/dt_smooth1             10.0        10.0
cstrike_CE2X016     detail/dt_smooth1             10.0        10.0
cstrike_CE2X2a      detail/dt_smooth1             5.0         10.0
cstrike_CE2X2b      detail/dt_smooth1             5.0         10.0
cstrike_CE2X2c      detail/dt_smooth1             2.0         10.0
cstrike_CE2X2d      detail/dt_smooth1             10.0        10.0
cstrike_CE2X3       detail/dt_smooth1             10.0        10.0
cstrike_CE2X4a      detail/dt_smooth1             10.0        10.0
cstrike_CE2X4b      detail/dt_smooth1             10.0        10.0
cstrike_CE2X4c      detail/dt_smooth1             10.0        10.0
cstrike_CE2X4d      detail/dt_smooth1             2.0         10.0
cstrike_CE2X4e      detail/dt_smooth1             10.0        10.0
cstrike_CE2X4f      detail/dt_smooth1             10.0        10.0
cstrike_CE2X4g      detail/dt_smooth1             1.0         10.0
cstrike_CE2X4h      detail/dt_smooth1             2.0         10.0
cstrike_CE2X4i      detail/dt_smooth1             10.0        10.0
cstrike_CE2X4j      detail/dt_smooth1             10.0        10.0
cstrike_CE2X4k      detail/dt_smooth1             2.0         10.0
cstrike_CE2X4l      detail/dt_smooth1             2.0         10.0
cstrike_CE2X5a      detail/dt_smooth1             5.0         10.0
cstrike_CE2X5b      detail/dt_smooth1             5.0         10.0
cstrike_CE2X5c      detail/dt_smooth1             5.0         10.0
cstrike_CE2X5d      detail/dt_smooth1             5.0         10.0
cstrike_CE2X5e      detail/dt_smooth1             5.0         10.0
cstrike_CE2X5f      detail/dt_smooth1             5.0         10.0
cstrike_CE2X5g      detail/dt_smooth1             5.0         10.0
cstrike_CE2X6a      detail/dt_smooth1             10.0        10.0
cstrike_CE2X6b      detail/dt_smooth1             10.0        10.0
cstrike_CE2X7a      detail/dt_smooth1             10.0        10.0
cstrike_CE2X7b      detail/dt_smooth1             10.0        10.0
cstrike_CE2X7c      detail/dt_smooth1             5.0         10.0
cstrike_CE2X8a      detail/dt_smooth1             10.0        10.0
cstrike_CE2X8b      detail/dt_smooth1             10.0        10.0
glassblue1          detail/dt_smooth1             10.0        10.0
light01             detail/dt_smooth1             10.0        10.0
light01b            detail/dt_smooth1             10.0        10.0
light02             detail/dt_smooth1             10.0        10.0
light02b            detail/dt_smooth1             10.0        10.0
light02low          detail/dt_smooth1             10.0        10.0
light02low2         detail/dt_smooth1             10.0        10.0
light02low3         detail/dt_smooth1             10.0        10.0
light03             detail/dt_smooth1             10.0        10.0
light04             detail/dt_smooth1             10.0        10.0
light04b            detail/dt_smooth1             10.0        10.0
light05             detail/dt_smooth1             10.0        10.0
light05b            detail/dt_smooth1             10.0        10.0
light06             detail/dt_smooth1             10.0        10.0
lightGreen1a        detail/dt_smooth1             10.0        10.0
map2                detail/dt_smooth1             10.0        10.0
