// Editado por Zshiryu777
//------------------------------------------------------------------------------
// detail texture map file for de_nuke level
//------------------------------------------------------------------------------
// cstrike.wad
//------------------------------------------------------------------------------
// [texture name]	[detail texture name]		[hscale]	[vscale]

{cstrike_oe4ven		detail/cstrike/{cstrike_oe4ven	1.0		1.0
cstrike_ft2mud		detail/cstrike/cstrike_ft2mud 	3.0		3.0

//------------------------------------------------------------------------------
// halflife.wad
//------------------------------------------------------------------------------
// [texture name]	[detail texture name]		[hscale]	[vscale]

-0c2a4e_w1              detail/dt_ground3       	5.0     	 5.0
-0crete2_flr5           detail/dt_ground3       	5.0     	 5.0
-0out_grnd2b            detail/dt_ground3       	5.0     	 5.0
-0out_rk3		detail/halflife/-0out_rk3	1.0		 1.0
-0silo2_cor2		detail/halflife/-0silo2_cor2 	1.0		 1.0
-0tnnl_flr1		detail/halflife/-0tnnl_flr1	1.0		 1.0
-0tnnl_rck1             detail/dt_ground3       	5.0     	 5.0
-1c2a4e_w1              detail/dt_ground3       	5.0     	 5.0
-1crete2_flr5           detail/dt_ground3       	5.0     	 5.0
-1out_grnd2b            detail/dt_ground3       	5.0     	 5.0
-1out_rk3		detail/halflife/-0out_rk3	1.0		 1.0
-1silo2_cor2		detail/halflife/-0silo2_cor2 	1.0		 1.0
-1tnnl_flr1		detail/halflife/-0tnnl_flr1	1.0		 1.0
-1tnnl_rck1             detail/dt_ground3       	5.0     	 5.0
-2c2a4e_w1              detail/dt_ground3       	5.0     	 5.0
-2crete2_flr5           detail/dt_ground3       	5.0     	 5.0
-2out_rk3		detail/halflife/-0out_rk3	1.0		 1.0
-2silo2_cor2		detail/halflife/-0silo2_cor2 	1.0		 1.0
-2tnnl_flr1		detail/halflife/-0tnnl_flr1	1.0		 1.0
-2tnnl_rck1             detail/dt_ground3       	5.0     	 5.0
-2crete2_flr5           detail/dt_ground3       	5.0     	 5.0
-3out_rk3		detail/halflife/-0out_rk3	1.0		 1.0
-3tnnl_flr1		detail/halflife/-0tnnl_flr1	1.0		 1.0
-4out_rk3		detail/halflife/-0out_rk3	1.0		 1.0
{gate                   detail/halflife/{gate       	1.0     	 1.0
{ladder3a               detail/halflife/{ladder3a       1.0     	 1.0
{rail1b                 detail/halflife/{rail1b       	1.0     	 1.0
{tension3               detail/halflife/{tension3       1.0     	 1.0
{tension4               detail/halflife/{tension4       1.0     	 1.0
