// Detail texture map file for hessi's 52h contest textures
// [texture name]	[detail texture name]		[hscale]	[vscale]

door01		detail/contest52/door01			1.0		1.0
gate01		detail/contest52/gate01			1.0		1.0
{gate02		detail/contest52/gate01			1.0		1.0
grnd01		detail/contest52/grnd01			1.0		1.0
grnd04		detail/contest52/grnd04			1.0		1.0
grnd06		detail/contest52/grnd06			1.0		1.0
grnd07		detail/contest52/grnd07			1.0		1.0
rubbish01	detail/contest52/rubbish01		1.0		1.0
{rubbish02	detail/contest52/rubbish02		1.0		1.0
wall03		detail/contest52/wall03			1.0		1.0
wall04		detail/contest52/wall04			1.0		1.0
wall05		detail/contest52/wall05			1.0		1.0
wall06		detail/contest52/wall06			1.0		1.0
wall07		detail/contest52/wall07			1.0		1.0
wall08		detail/contest52/wall08			1.0		1.0
wall09		detail/contest52/wall09			1.0		1.0
wall10		detail/contest52/wall10			1.0		1.0
wall11		detail/contest52/wall11			1.0		1.0
wall12		detail/contest52/wall12			1.0		1.0
wall14		detail/contest52/wall14			1.0		1.0
wall15		detail/contest52/wall15			1.0		1.0
wall16		detail/contest52/wall16			1.0		1.0
wall17		detail/contest52/wall17			1.0		1.0
wall18		detail/contest52/wall18			1.0		1.0
rubbish04	detail/contest52/rubbish04		1.0		1.0
door02		detail/contest52/door02			1.0		1.0
grnd10		detail/contest52/grnd10			1.0		1.0
grnd09		detail/contest52/grnd09			1.0		1.0
grnd08		detail/contest52/grnd08			1.0		1.0
{fenster01	detail/contest52/fenster01		1.0		1.0
{rubbish03	detail/contest52/rubbish03		1.0		1.0
grnd11		detail/contest52/grnd11			1.0		1.0
grnd12		detail/contest52/grnd12			1.0		1.0
!water01	detail/contest52/water01		1.0		1.0
rubbish05	detail/contest52/rubbish05		1.0		1.0
grnd13		detail/contest52/grnd13			1.0		1.0
rubbish07	detail/contest52/rubbish07		1.0		1.0
rubbish08	detail/contest52/rubbish08		1.0		1.0
grnd14		detail/contest52/grnd14			1.0		1.0
grnd15		detail/contest52/grnd15			1.0		1.0
grnd16		detail/contest52/grnd16			1.0		1.0
grnd17		detail/contest52/grnd17			1.0		1.0
grnd18		detail/contest52/grnd18			1.0		1.0
grnd19		detail/contest52/grnd19			1.0		1.0
grnd20		detail/contest52/grnd20			1.0		1.0
rubbish09	detail/contest52/rubbish09		1.0		1.0
rubbish10	detail/contest52/rubbish10		1.0		1.0
rubbish11	detail/contest52/rubbish11		1.0		1.0
rubbish12	detail/contest52/rubbish12		1.0		1.0
grnd23		detail/contest52/grnd23			1.0		1.0
grnd24		detail/contest52/grnd24			1.0		1.0
wall19		detail/contest52/wall19			1.0		1.0
wall20		detail/contest52/wall20			1.0		1.0
rubbish15	detail/contest52/rubbish15		1.0		1.0
wall21		detail/contest52/wall21			1.0		1.0
{rubbish16	detail/contest52/rubbish16		1.0		1.0
{rubbish13	detail/contest52/rubbish13		1.0		1.0
{rubbish14	detail/contest52/rubbish14		1.0		1.0
rubbish17	detail/contest52/rubbish17		1.0		1.0
rubbish21	detail/contest52/rubbish21		1.0		1.0
rubbish22	detail/contest52/rubbish21		1.0		1.0
grnd22		detail/contest52/grnd22			1.0		1.0
rubbish19	detail/contest52/rubbish19		1.0		1.0
rubbish18	detail/contest52/rubbish18		1.0		1.0
rubbish20	detail/contest52/rubbish20		1.0		1.0
grnd25		detail/contest52/grnd25			1.0		1.0
